person,uh_id_1,uh_id_2,reason
H0030,20240030,20240031,re-registered as New
H0079,20240080,20240081,re-registered as New
H0088,20240090,20240091,re-registered as New
H0091,20240094,20240095,re-registered as New
H0177,20240181,20240182,re-registered as New
H0197,20240202,20240203,re-registered as New
H0218,20240224,20240225,re-registered as New
H0308,20240315,20240316,re-registered as New
H0315,20240323,20240324,re-registered as New
H0339,20240348,20240349,re-registered as New
H0360,20240370,20240371,re-registered as New
H0424,20240435,20240436,re-registered as New
H0468,20240480,20240481,re-registered as New
H0472,20240485,20240486,re-registered as New
H0474,20240488,20240489,re-registered as New
